317,9.3,5,3,20000,1
302,9.1,4,2,20000,1
340,9.8,5,3,40000,1
274,6.8,2,0,20000,0
298,8.1,3,2,20000,1
312,8.7,4,1,20000,1
285,7.7,3,2,30000,1
329,9,4,0,35000,1
299,7.9,3,2,30000,1
322,8.9,4,0,25000,1
290,7.2,2,2,30000,1
281,7.8,3,0,19000,0
324,9.5,5,1,35000,1
309,9,4,3,40000,1
276,6.2,1,1,30000,1
279,5.9,1,1,25000,0
297,7.9,2,1,35000,1
304,8.3,3,0,40000,1
315,8.8,4,0,45000,1
332,9.9,5,2,40000,1
298,7.8,2,0,30000,1
279,6.3,1,1,35000,1
289,7.3,2,0,45000,1
335,9.7,5,3,50000,1
283,8.3,3,0,35000,1
289,7.1,2,1,40000,1
294,7.9,2,2,25000,1
333,9.6,5,3,25000,1
323,9.1,4,0,35000,1
301,8.2,3,2,40000,1
288,8,2,1,25000,1
271,7.2,2,3,45000,1
324,8.9,4,2,35000,1
303,8,3,1,30000,1
321,9.2,4,0,30000,1
331,9.4,5,3,35000,1
295,8.1,3,3,35000,1
290,8.4,2,3,40000,1
305,8.9,3,0,40000,1
315,7.4,3,2,25000,1
278,6.9,1,1,20000,0
307,7.9,2,2,20000,1
310,8.6,3,3,25000,1
323,9.2,4,2,35000,1
315,8.3,3,0,35000,1
338,10,5,1,15000,1
320,9.7,5,2,40000,1
298,7.2,2,1,45000,1
299,7.9,2,2,30000,1
321,8.7,3,0,35000,1
329,9.3,5,0,40000,1
295,7.8,2,1,35000,1
298,8.4,3,0,30000,1
277,6.4,1,2,40000,1
309,8.8,2,3,45000,1
279,6.3,2,1,50000,1
305,8.4,3,2,45000,1
319,9.3,4,1,35000,1
324,9.5,4,1,30000,1
289,7.9,2,1,25000,1
330,9.4,4,1,20000,1
325,9.3,5,1,30000,1
289,8.2,3,0,35000,1
313,8.6,3,0,45000,1
303,7.7,3,0,20000,1
295,7.9,3,2,30000,1
310,8.3,3,1,35000,1
329,9.1,4,1,20000,1
290,8.1,3,1,25000,1
333,9.7,5,1,35000,1
279,6.3,1,2,40000,1
324,9.3,4,1,30000,1
321,8.7,4,1,15000,1
316,8.2,3,3,25000,1
301,7.8,2,1,30000,1
292,7.3,2,1,35000,1
311,8.6,3,1,40000,1
288,7.3,2,1,20000,0
330,9.8,5,1,35000,1
319,8.6,4,1,45000,1
314,8.3,3,1,15000,1
318,8.5,3,1,25000,1
322,9.2,4,1,35000,1
306,8.1,3,2,30000,1
298,7.4,2,1,20000,1
314,9.3,4,3,35000,1
299,7.5,2,0,35000,1
337,9.9,5,0,20000,1
321,9.4,4,0,30000,1
320,9.6,5,2,40000,1
315,8.3,4,1,45000,1
274,6.2,1,3,50000,1
305,8,3,0,35000,1
311,8.5,3,0,30000,1
319,8.8,4,0,20000,1
284,7.2,2,0,35000,1
289,6.9,1,1,40000,1
328,9.5,5,2,35000,1
295,7.5,2,2,35000,1
334,10,5,2,30000,1
276,6.2,1,1,25000,0
305,7.3,2,2,20000,1
316,7.5,3,3,25000,1
326,8.6,4,1,30000,1
327,9.2,4,1,35000,1
314,9.1,3,1,40000,1
332,8.6,4,1,20000,1
301,7.2,2,1,15000,0
281,6.7,1,1,20000,0
288,6.9,1,1,25000,1
295,7.5,2,0,30000,1
299,7.1,2,0,35000,1
308,8.3,3,0,35000,1
282,6.4,1,2,20000,0
304,7.8,2,2,20000,1
318,9.2,4,3,40000,1
329,9.7,5,1,45000,1
300,7.3,2,1,50000,1
295,7.5,2,1,30000,1
308,8.3,3,2,35000,1
320,9,4,2,50000,1
290,6.8,1,2,25000,1
323,7.6,4,2,30000,1
296,7.8,2,2,35000,1
339,9.3,5,1,40000,1
291,7.2,2,2,20000,1
310,8,3,1,25000,1
280,6.3,1,3,25000,1
289,6.9,1,2,35000,1
325,9.1,4,2,45000,1
309,8.2,3,1,35000,1
318,8.8,4,1,15000,1
297,7.4,2,1,40000,1
330,9,5,1,45000,1
281,7.5,2,2,35000,1
326,9.1,4,0,30000,1
270,6,1,2,30000,1
320,8.9,4,2,35000,1
311,7.8,3,2,20000,1
289,6.8,1,0,20000,0
275,6.1,1,0,25000,0
327,8.8,4,1,30000,1
335,9.5,5,1,40000,1
326,9.2,5,1,45000,1
301,7.1,3,1,25000,1
332,10,5,1,30000,1
295,7.1,2,1,35000,1
277,6.7,1,2,35000,1
309,7.7,3,2,30000,1
315,8.4,3,2,30000,1
302,7.5,2,2,20000,1
317,8.6,4,0,25000,1
283,6.8,1,3,20000,0
281,6.4,1,2,30000,1
337,9.8,5,1,30000,1
325,8.9,4,3,40000,1
290,7.8,2,2,30000,1
330,9.2,5,1,35000,1
321,8.5,4,1,25000,1
317,8.4,4,1,45000,1
304,7.8,3,0,20000,1
299,6.6,1,0,20000,0
313,7.3,3,1,25000,1
310,8.2,3,2,30000,1
329,9,5,2,35000,1
340,10,5,1,25000,1
321,9.2,4,2,40000,1
311,8.5,3,1,45000,1
296,7.8,2,0,40000,1
305,7.9,3,0,35000,1
319,8.4,4,1,30000,1
322,9.2,4,1,20000,1
333,9.7,5,2,25000,1
305,7.3,3,2,30000,1
277,6.2,1,1,30000,1
320,8.9,4,2,35000,1
284,7,2,2,25000,1

